,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10
0,630.0,60.0,346.0,603.0,813.0,488.0,297.0,951.0,564.0,892
1,179.0,37.0,,57.0,69.0,377.0,280.0,651.0,222.0,377
2,54.0,,,,,163.0,276.0,197.0,166.0,265
3,15.0,,,,,148.0,74.0,152.0,,235
4,,,,,,111.0,,,,133
5,,,,,,,,,,101
