,iter1,iter2,iter3,iter4,iter5
0,8532047.096679688,10019583.612304688,13195545.340820312,13199508.538085938,13227665.698242188
1,8526140.791992188,9935752.598632812,,,
2,8525172.295898438,9871260.540039062,,,
3,8520910.618164062,9808895.508789062,,,
4,8518435.528320312,9738910.028320312,,,
5,,9685342.866210938,,,
6,,9634300.963867188,,,
7,,9601627.514648438,,,
8,,9563789.750976562,,,
9,,9523036.581054688,,,
10,,9497420.446289062,,,
11,,9466696.524414062,,,
12,,9438865.702148438,,,
13,,9409977.413085938,,,
14,,9385063.608398438,,,
15,,9352105.758789062,,,
16,,9324080.352539062,,,
17,,9309118.418945312,,,
18,,9290198.922851562,,,
19,,9265285.149414062,,,
20,,9231827.540039062,,,
21,,9212613.706054688,,,
22,,9192013.555664062,,,
23,,9174366.036132812,,,
24,,9159243.055664062,,,
25,,9138705.870117188,,,
26,,9127661.686523438,,,
27,,9104828.698242188,,,
28,,9088887.524414062,,,
29,,9080043.438476562,,,
30,,9076024.649414062,,,
31,,9072823.241210938,,,
32,,9046472.811523438,,,
33,,9037144.112304688,,,
34,,9024311.030273438,,,
35,,9015999.764648438,,,
36,,9008431.149414062,,,
37,,8998129.110351562,,,
38,,8990364.719726562,,,
39,,8984377.028320312,,,
40,,8973749.813476562,,,
41,,8967485.788085938,,,
42,,8956667.727539062,,,
43,,8953809.038085938,,,
44,,8943726.696289062,,,
45,,8933737.875976562,,,
46,,8925151.547851562,,,
47,,8917799.721679688,,,
48,,8915933.688476562,,,
49,,8910209.030273438,,,
50,,8905230.790039062,,,
51,,8903767.194335938,,,
52,,8902471.129882812,,,
53,,8898370.791992188,,,
54,,8894397.415039062,,,
55,,8886956.969726562,,,
56,,8877584.096679688,,,
57,,8873516.354492188,,,
58,,8866654.858398438,,,
59,,8865319.280273438,,,
60,,8860149.254882812,,,
61,,8849931.590820312,,,
62,,8849223.211914062,,,
63,,8843842.442382812,,,
64,,8838646.616210938,,,
65,,8834997.633789062,,,
66,,8816691.297851562,,,
67,,8811602.627929688,,,
68,,8805845.581054688,,,
69,,8804453.602539062,,,
70,,8800000.479492188,,,
71,,8792502.541992188,,,
72,,8785515.534179688,,,
73,,8782973.622070312,,,
74,,8781048.584960938,,,
75,,8779375.235351562,,,
76,,8777279.366210938,,,
77,,8773809.516601562,,,
78,,8770715.973632812,,,
79,,8765632.870117188,,,
80,,8762931.723632812,,,
81,,8761790.688476562,,,
82,,8761538.711914062,,,
83,,8753696.711914062,,,
84,,8750930.616210938,,,
85,,8750249.813476562,,,
86,,8744839.573242188,,,
87,,8742815.809570312,,,
88,,8739340.747070312,,,
89,,8737389.374023438,,,
90,,8730621.274414062,,,
91,,8728046.702148438,,,
92,,8726171.950195312,,,
93,,8724893.133789062,,,
94,,8724382.350585938,,,
95,,8723694.530273438,,,
96,,8723590.120117188,,,
97,,8721108.612304688,,,
98,,8717530.481445312,,,
99,,8714976.254882812,,,
100,,8709658.932617188,,,
101,,8705245.659179688,,,
102,,8702125.897460938,,,
103,,8695093.801757812,,,
104,,8690068.090820312,,,
105,,8688648.014648438,,,
106,,8685413.686523438,,,
107,,8684225.270507812,,,
108,,8682855.293945312,,,
109,,8681203.547851562,,,
110,,8679889.102539062,,,
111,,8676942.079101562,,,
112,,8673958.885742188,,,
113,,8671957.666992188,,,
114,,8668943.465820312,,,
115,,8667238.663085938,,,
116,,8665933.858398438,,,
117,,8658641.249023438,,,
118,,8658343.223632812,,,
119,,8656274.088867188,,,
120,,8655476.489257812,,,
121,,8655143.858398438,,,
122,,8653753.862304688,,,
123,,8653477.575195312,,,
124,,8651011.346679688,,,
125,,8650087.545898438,,,
126,,8649617.360351562,,,
127,,8648616.231445312,,,
128,,8636851.202148438,,,
129,,8635547.653320312,,,
130,,8634264.551757812,,,
131,,8634226.440429688,,,
132,,8632296.709960938,,,
133,,8632250.575195312,,,
134,,8629795.850585938,,,
135,,8629467.524414062,,,
136,,8628083.616210938,,,
137,,8625364.358398438,,,
