,iter1,iter2,iter3,iter4,iter5
0,8684991.616210938,10019583.612304688,12904169.534179688,12598555.086914062,12214924.377929688
1,8677957.127929688,9935752.598632812,,12597740.723632812,12214743.331054688
2,8675569.434570312,9871260.540039062,,12596816.784179688,12211850.254882812
3,8673048.143554688,9808895.508789062,,,12211544.567382812
4,8671178.184570312,9738910.028320312,,,12208671.434570312
5,8668743.178710938,9685342.866210938,,,12203674.844726562
6,8667521.694335938,9634300.963867188,,,12203544.987304688
7,8664298.317382812,9601627.514648438,,,
8,8660890.944335938,9563789.750976562,,,
9,8659430.208007812,9523036.581054688,,,
10,8656605.202148438,9497420.446289062,,,
11,8655688.249023438,9466696.524414062,,,
12,8654512.879882812,9438865.702148438,,,
13,8652994.768554688,9409977.413085938,,,
14,8643576.834960938,9385063.608398438,,,
15,8640148.252929688,9352105.758789062,,,
16,8636692.094726562,9324080.352539062,,,
17,8633745.526367188,9309118.418945312,,,
18,8633383.329101562,9290198.922851562,,,
19,8631584.928710938,9265285.149414062,,,
20,8629990.313476562,9231827.540039062,,,
21,,9212613.706054688,,,
22,,9192013.555664062,,,
23,,9174366.036132812,,,
24,,9159243.055664062,,,
25,,9138705.870117188,,,
26,,9127661.686523438,,,
27,,9104828.698242188,,,
28,,9088887.524414062,,,
29,,9080043.438476562,,,
30,,9076024.649414062,,,
31,,9072823.241210938,,,
32,,9046472.811523438,,,
33,,9037144.112304688,,,
34,,9024311.030273438,,,
35,,9015999.764648438,,,
36,,9008431.149414062,,,
37,,8998129.110351562,,,
38,,8990364.719726562,,,
39,,8984377.028320312,,,
40,,8973749.813476562,,,
41,,8967485.788085938,,,
42,,8956667.727539062,,,
43,,8953809.038085938,,,
44,,8943726.696289062,,,
45,,8933737.875976562,,,
46,,8925151.547851562,,,
47,,8917799.721679688,,,
48,,8915933.688476562,,,
49,,8910209.030273438,,,
50,,8905230.790039062,,,
51,,8903767.194335938,,,
52,,8902471.129882812,,,
53,,8898370.791992188,,,
54,,8894397.415039062,,,
55,,8886956.969726562,,,
56,,8877584.096679688,,,
57,,8873516.354492188,,,
58,,8866654.858398438,,,
59,,8865319.280273438,,,
60,,8860149.254882812,,,
61,,8849931.590820312,,,
62,,8849223.211914062,,,
63,,8843842.442382812,,,
64,,8838646.616210938,,,
65,,8834997.633789062,,,
66,,8816691.297851562,,,
67,,8811602.627929688,,,
68,,8805845.581054688,,,
69,,8804453.602539062,,,
70,,8800000.479492188,,,
71,,8792502.541992188,,,
72,,8785515.534179688,,,
73,,8781373.104492188,,,
74,,8778626.536132812,,,
75,,8775922.875976562,,,
76,,8774449.336914062,,,
77,,8771135.633789062,,,
78,,8768224.026367188,,,
79,,8764060.065429688,,,
80,,8759453.407226562,,,
81,,8758576.071289062,,,
82,,8755660.204101562,,,
83,,8749939.239257812,,,
84,,8749545.631835938,,,
85,,8746345.520507812,,,
86,,8742849.024414062,,,
87,,8738280.510742188,,,
88,,8737443.032226562,,,
89,,8732488.084960938,,,
90,,8727620.301757812,,,
91,,8725688.733398438,,,
92,,8719638.016601562,,,
93,,8716003.055664062,,,
94,,8712799.793945312,,,
