,iter1,iter2,iter3,iter4,iter5
0,8672670.520507812,10019583.612304688,11022476.247070312,10919458.235351562,10464029.092773438
1,8667114.852539062,9935752.598632812,11021696.286132812,10918632.706054688,10455922.934570312
2,8661103.276367188,9871260.540039062,11016524.182617188,10916580.309570312,10452126.227539062
3,8660690.618164062,9808895.508789062,11015454.862304688,,10452011.911132812
4,8657631.198242188,9738910.028320312,11015043.012695312,,10451630.924804688
5,8656705.030273438,9685342.866210938,,,
6,8651536.959960938,9634300.963867188,,,
7,8649848.569335938,9601627.514648438,,,
8,8646751.366210938,9563789.750976562,,,
9,8646472.323242188,9523036.581054688,,,
10,8645507.022460938,9497420.446289062,,,
11,,9466696.524414062,,,
12,,9438865.702148438,,,
13,,9409977.413085938,,,
14,,9385063.608398438,,,
15,,9352105.758789062,,,
16,,9324080.352539062,,,
17,,9309118.418945312,,,
18,,9290198.922851562,,,
19,,9265285.149414062,,,
20,,9231827.540039062,,,
21,,9212613.706054688,,,
22,,9192013.555664062,,,
23,,9174366.036132812,,,
24,,9159243.055664062,,,
25,,9138705.870117188,,,
26,,9127661.686523438,,,
27,,9104828.698242188,,,
28,,9088887.524414062,,,
29,,9080043.438476562,,,
30,,9076024.649414062,,,
31,,9072823.241210938,,,
32,,9046472.811523438,,,
33,,9037144.112304688,,,
34,,9024311.030273438,,,
35,,9015999.764648438,,,
36,,9008431.149414062,,,
37,,8998129.110351562,,,
38,,8990364.719726562,,,
39,,8984377.028320312,,,
40,,8973749.813476562,,,
41,,8967485.788085938,,,
42,,8956667.727539062,,,
43,,8953809.038085938,,,
44,,8943726.696289062,,,
45,,8933737.875976562,,,
46,,8925151.547851562,,,
47,,8917799.721679688,,,
48,,8915933.688476562,,,
49,,8910209.030273438,,,
50,,8905230.790039062,,,
51,,8903767.194335938,,,
52,,8902471.129882812,,,
53,,8898370.791992188,,,
54,,8894397.415039062,,,
55,,8886956.969726562,,,
56,,8877584.096679688,,,
57,,8873516.354492188,,,
58,,8866654.858398438,,,
59,,8865319.280273438,,,
60,,8860149.254882812,,,
61,,8849931.590820312,,,
62,,8849223.211914062,,,
63,,8843842.442382812,,,
64,,8838646.616210938,,,
65,,8834997.633789062,,,
66,,8816691.297851562,,,
67,,8811602.627929688,,,
68,,8805845.581054688,,,
69,,8804453.602539062,,,
70,,8800000.479492188,,,
71,,8792502.541992188,,,
72,,8785515.534179688,,,
73,,8784975.727539062,,,
74,,8784675.612304688,,,
75,,8781545.610351562,,,
76,,8778951.233398438,,,
77,,8771741.430664062,,,
78,,8769508.528320312,,,
79,,8767964.590820312,,,
80,,8766896.424804688,,,
81,,8760026.174804688,,,
82,,8757047.418945312,,,
