RAND,   35.78, 66.63, 32.81, 135.22
FIFO,   33.98, 61.50, 29.48, 124.96
LRU,    34.65, 61.12, 28.43, 124.22
LRU-Social, 34.60, 61.06, 28.42, 124.08
SocialCND,  33.24, 56.92, 25.64, 115.80
