RAND,   119.17, 176.98, 88.27, 384.42,
FIFO,   95.50, 95.72, 30.67, 221.90,
LRU,        92.47, 92.69, 30.67, 215.83,
LRU-Social, 100.98, 124.95, 54.42, 280.35,
SocialCND,  88.33, 88.55, 30.67, 207.54

