RAND,3.50, 5.91, 2.60, 12.02
FIFO,3.01, 4.13, 1.31, 8.45
LRU,2.94, 3.38, 0.63, 6.95
LRU-Social,2.94, 3.38, 0.63, 6.95
SocialCDN,2.46, 2.89, 0.61, 5.97
