       ,Layer1 CDN, Layer2 CDN, Layer DC, Totoal
RAND,   170.27, 287.85, 143.18, 601.29,
FIFO,   98.23, 107.23, 34.60, 240.06,
LRU,    94.21, 103.21, 34.60, 232.02, 
LRU-Social,   126.75, 180.50, 79.35, 386.60,
SocialCDN,    91.88, 100.87, 34.59, 227.35,  
