,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,591288858114.0,537053600.4707031,378091096597.0,11767183.073242188,102045695.46386719
FIFO,243781928742.0,291854119.6484375,204441384537.0,8600734.795898438,68434633.73730469
LRU,244736489320.0,299843020.7402344,202624988409.0,7361977.1416015625,70257574.58300781
LRU-Social,556754472476.0,491921139.5859375,364439733627.0,9684605.352539062,92456510.04199219
Second-Hit-LRU,333194323514.0,377759916.0996094,236656074121.0,8112075.6279296875,75536949.92285156
