,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,0.10307200260057282,0.10091920557960445,0.07799028983375018,0.062190672813145165,0.02272010735563981
FIFO,0.6412629791293397,0.47887495496985194,0.5899334673793994,0.18795780423654515,0.22109360474046288
LRU,0.6374509829238671,0.44638090485498816,0.6044889085053864,0.21086569190305154,0.18557651110338638
LRU-Social,0.15490573303266741,0.16462431568938943,0.12062184296993772,0.13204558952459064,0.07326133175964625
Second-Hit-LRU,0.3564630386751661,0.27790909520406776,0.3327448384091021,0.18569529681269267,0.13994632218009556
