,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,0.04974913732878887,0.01643843939510878,0.01732559603277183,0.2604945717732208,0.035507339286378996
FIFO,0.7839517281532843,0.336674027999507,0.9708590791309547,0.5029429178420924,0.43125431363289624
LRU,0.786223352550781,0.3773259604858399,0.9697866466070941,0.7543274916675626,0.4594074147600377
LRU-Social,0.08490499056780976,0.06612615319359513,0.04537663911722825,0.43636363636363634,0.14267458140153613
Second-Hit-LRU,0.7967832012670807,0.3527288972672691,0.9766402077514822,0.6676970096898551,0.41608899374468344
