,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,6336.8312622554495,215.18555976492058,5641.920914003899,190.7610441939301,225.7229411160853
FIFO,1964.2845762631846,128.94121927312509,1031.8531231992986,147.33541762362327,151.9305651388632
LRU,1974.1408699043766,130.19746850603278,1018.8692873072886,119.11577687572748,153.12687402214786
LRU-Social,5888.2118489150835,198.9192497815724,5291.20867113023,161.107096202855,204.4060095366378
Second-Hit-LRU,2600.00716080822,152.80030046039383,1272.1209260335722,130.04916737014742,162.87629195890236
