,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,138501354785.0,130301977.15527344,86396295688.0,2498253.6630859375,24605089.1171875
FIFO,35856001391.0,58266413.07910156,31205166068.0,1382727.939453125,12631817.720703125
LRU,35856001391.0,58042900.90234375,31205166068.0,832586.3076171875,12634883.373046875
LRU-Social,128042556830.0,116290388.87304688,82245683995.0,1732014.2431640625,21049203.076171875
Second-Hit-LRU,42887829185.0,74446646.27246094,31432271921.0,1108344.115234375,14124716.770507812
