,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,169941651819.0,144198778.7939453,117876136356.0,3477799.111328125,27398475.981445312
FIFO,98833540527.0,93634602.45898438,86242409946.0,3010100.6962890625,22566216.514648438
LRU,99310820816.0,97852565.18164062,85334211882.0,2940863.5009765625,23474621.28515625
LRU-Social,163133256955.0,135644136.63378906,115201066564.0,3202749.6708984375,26159769.311523438
Second-Hit-LRU,136507910119.0,120407267.49121094,102122648885.0,3040154.9365234375,24624475.557617188
