,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,"(0.10307200260057282, 0.04974913732878887, 1.0)","(0.10091920557960445, 0.01643843939510878, 1.0)","(0.07799028983375018, 0.01732559603277183, 1.0)","(0.062190672813145165, 0.2604945717732208, 1.0)","(0.02272010735563981, 0.035507339286378996, 1.0)"
FIFO,"(0.6412629791293397, 0.7839517281532843, 1.0)","(0.47887495496985194, 0.336674027999507, 1.0)","(0.5899334673793994, 0.9708590791309547, 1.0)","(0.18795780423654515, 0.5029429178420924, 1.0)","(0.22109360474046288, 0.43125431363289624, 1.0)"
LRU,"(0.6374509829238671, 0.786223352550781, 1.0)","(0.44638090485498816, 0.3773259604858399, 1.0)","(0.6044889085053864, 0.9697866466070941, 1.0)","(0.21086569190305154, 0.7543274916675626, 1.0)","(0.18557651110338638, 0.4594074147600377, 1.0)"
LRU-Social,"(0.15490573303266741, 0.08490499056780976, 1.0)","(0.16462431568938943, 0.06612615319359513, 1.0)","(0.12062184296993772, 0.04537663911722825, 1.0)","(0.13204558952459064, 0.43636363636363634, 1.0)","(0.07326133175964625, 0.14267458140153613, 1.0)"
Second-Hit-LRU,"(0.3564630386751661, 0.7967832012670807, 1.0)","(0.27790909520406776, 0.3527288972672691, 1.0)","(0.3327448384091021, 0.9766402077514822, 1.0)","(0.18569529681269267, 0.6676970096898551, 1.0)","(0.13994632218009556, 0.41608899374468344, 1.0)"
