,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,282845851510.0,262552844.52148438,173818664553.0,5791130.298828125,50042130.365234375
FIFO,109092386824.0,139953104.11035156,86993808523.0,4207906.16015625,33236599.501953125
LRU,109569667113.0,143947554.65625,86085610459.0,3588527.3330078125,34148069.92480469
LRU-Social,265578658691.0,239986614.07910156,166992983068.0,4749841.4384765625,45247537.654296875
Second-Hit-LRU,153798584210.0,182906002.3359375,103101153315.0,3963576.576171875,36787757.59472656
