,BrightkiteBigraphCommunity,GooglePlus,GowallaBigraphCommunity,TwitterEgo,TwitterFull
RAND,"(138501354785.0, 282845851510.0, 169941651819.0)","(130301977.15527344, 262552844.52148438, 144198778.7939453)","(86396295688.0, 173818664553.0, 117876136356.0)","(2498253.6630859375, 5791130.298828125, 3477799.111328125)","(24605089.1171875, 50042130.365234375, 27398475.981445312)"
FIFO,"(35856001391.0, 109092386824.0, 98833540527.0)","(58266413.07910156, 139953104.11035156, 93634602.45898438)","(31205166068.0, 86993808523.0, 86242409946.0)","(1382727.939453125, 4207906.16015625, 3010100.6962890625)","(12631817.720703125, 33236599.501953125, 22566216.514648438)"
LRU,"(35856001391.0, 109569667113.0, 99310820816.0)","(58042900.90234375, 143947554.65625, 97852565.18164062)","(31205166068.0, 86085610459.0, 85334211882.0)","(832586.3076171875, 3588527.3330078125, 2940863.5009765625)","(12634883.373046875, 34148069.92480469, 23474621.28515625)"
LRU-Social,"(128042556830.0, 265578658691.0, 163133256955.0)","(116290388.87304688, 239986614.07910156, 135644136.63378906)","(82245683995.0, 166992983068.0, 115201066564.0)","(1732014.2431640625, 4749841.4384765625, 3202749.6708984375)","(21049203.076171875, 45247537.654296875, 26159769.311523438)"
Second-Hit-LRU,"(42887829185.0, 153798584210.0, 136507910119.0)","(74446646.27246094, 182906002.3359375, 120407267.49121094)","(31432271921.0, 103101153315.0, 102122648885.0)","(1108344.115234375, 3963576.576171875, 3040154.9365234375)","(14124716.770507812, 36787757.59472656, 24624475.557617188)"
